wavelength(nm),f1_mean,f1_std,f1_all
675,0.32888442073224683,0.11603153901782864,"[0.4314182194616977, 0.16666666666666666, 0.3885683760683761]"
765,0.3224433778781605,0.05650703265349632,"[0.3103174603174603, 0.396911663216011, 0.2601010101010101]"
915,0.28751803751803756,0.09103069125185316,"[0.16666666666666666, 0.3863636363636364, 0.30952380952380953]"
735,0.23955496998975256,0.10307962709787205,"[0.16666666666666666, 0.38533157663592443, 0.16666666666666666]"
825,0.22889954354485245,0.09367858601124335,"[0.361301805237732, 0.15873015873015872, 0.16666666666666666]"
855,0.212791684965598,0.035799393034020945,"[0.16666666666666666, 0.2539306104523496, 0.21777777777777776]"
705,0.2055670221304896,0.055013410278072744,"[0.2833677330581355, 0.16666666666666666, 0.16666666666666666]"
885,0.20415982484948,0.05302333279833443,"[0.2791461412151067, 0.16666666666666666, 0.16666666666666666]"
795,0.19999999999999998,0.047140452079103175,"[0.16666666666666666, 0.16666666666666666, 0.26666666666666666]"
945,0.15824915824915822,0.011904154565430092,"[0.1414141414141414, 0.16666666666666666, 0.16666666666666666]"
